vehicleId 	 tourDuration[s] 	 travelDistance[m] 	 costPerSecond[EUR/s] 	 costPerMeter[EUR/m] 	 fixedCosts[EUR] 	 + varCostsTime[EUR] 	 varCostsDist[EUR] 	 totalCosts[EUR]
freight_Liefer-Startup_veh_bayk6_4	34405.0	66803.5157471227	0.004677777777777778	2.0E-4	223.25	160.93894444444445	13.360703149424541	397.549647593869
freight_Liefer-Startup_veh_bayk2_0	57406.0	186455.89139195025	0.004677777777777778	2.0E-4	223.25	268.53251111111115	37.29117827839005	529.0736893895012
freight_Liefer-Startup_veh_bayk5_3	49512.0	99740.84354068714	0.004677777777777778	2.0E-4	223.25	231.60613333333336	19.94816870813743	474.80430204147075
freight_Liefer-Startup_veh_bayk3_1	52122.0	150904.24609755757	0.004677777777777778	2.0E-4	223.25	243.81513333333336	30.180849219511515	497.2459825528449
freight_Liefer-Startup_veh_bayk4_2	55102.0	159916.42004891168	0.004677777777777778	2.0E-4	223.25	257.75491111111114	31.983284009782338	512.9881951208935
