vehicleId 	 tourDuration[s] 	 travelDistance[m] 	 costPerSecond[EUR/s] 	 costPerMeter[EUR/m] 	 fixedCosts[EUR] 	 + varCostsTime[EUR] 	 varCostsDist[EUR] 	 totalCosts[EUR]
freight_Liefer-Startup_veh_bayk3_1	50451.0	115140.727932523	0.004677777777777778	2.0E-4	223.25	235.99856666666668	23.028145586504603	482.27671225317124
freight_Liefer-Startup_veh_bayk5_3	39423.0	91834.12273113767	0.004677777777777778	2.0E-4	223.25	184.41203333333334	18.366824546227534	426.02885787956086
freight_Liefer-Startup_veh_bayk4_2	51248.0	136505.61949587025	0.004677777777777778	2.0E-4	223.25	239.72675555555557	27.30112389917405	490.2778794547296
freight_Liefer-Startup_veh_bayk2_0	51296.0	155114.98235212994	0.004677777777777778	2.0E-4	223.25	239.9512888888889	31.02299647042599	494.22428535931493
